team,player,pos,club
Portugal,Vitinha,MF,Paris Saint-Germain
Portugal,Samú Costa,DF,Mallorca
Portugal,Nuno Mendes,DF,Paris Saint-Germain
Portugal,Francisco Conceição,FW,Juventus
Uzbekistan,Utkir Yusupov,GK,Navbahor Namangan
Uzbekistan,Abdukodir Khusanov,DF,Manchester City
Uzbekistan,Khojiakbar Alijonov,DF,Pakhtakor
Uzbekistan,Farrukh Sayfiev,DF,Neftchi Fergana
Uzbekistan,Rustam Ashurmatov,DF,Esteghlal
Uzbekistan,Akmal Mozgovoy,MF,Pakhtakor
Uzbekistan,Otabek Shukurov,MF,Baniyas
Uzbekistan,Jamshid Iskanderov,MF,Neftchi Fergana
Uzbekistan,Odiljon Hamrobekov,MF,Tractor
Uzbekistan,Jaloliddin Masharipov,MF,Esteghlal
Uzbekistan,Oston Urunov,MF,Persepolis
Uzbekistan,Abduvohid Nematov,GK,Nasaf
Uzbekistan,Sherzod Nasrullaev,DF,Nasaf
Uzbekistan,Eldor Shomurodov,FW,İstanbul Başakşehir
Uzbekistan,Umar Eshmurodov,DF,Nasaf
Uzbekistan,Botirali Ergashev,GK,Neftchi Fergana
Uzbekistan,Dostonbek Khamdamov,MF,Pakhtakor
Uzbekistan,Abdulla Abdullaev,DF,Dibba
Uzbekistan,Azizjon Ganiev,MF,Al Bataeh
Uzbekistan,Azizbek Amonov,FW,Dinamo Samarqand
Uzbekistan,Igor Sergeev,FW,Persepolis
Uzbekistan,Abbosbek Fayzullaev,MF,İstanbul Başakşehir
Uzbekistan,Sherzod Esanov,MF,Bukhara
Uzbekistan,Bekhruz Karimov,DF,Surkhon Termiz
Uzbekistan,Avazbek Ulmasaliev,DF,AGMK
Uzbekistan,Jakhongir Urozov,DF,Dinamo Samarqand
Croatia,Dominik Livaković,GK,Dinamo Zagreb
Croatia,Josip Stanišić,DF,Bayern Munich
Croatia,Marin Pongračić,DF,Fiorentina
Croatia,Joško Gvardiol,DF,Manchester City
Croatia,Duje Ćaleta-Car,DF,Real Sociedad
Croatia,Josip Šutalo,DF,Ajax
Croatia,Nikola Moro,MF,Bologna
Croatia,Mateo Kovačić,MF,Manchester City
Croatia,Andrej Kramarić,FW,TSG Hoffenheim
Croatia,Luka Modrić,MF,Milan
Croatia,Ante Budimir,FW,Osasuna
Croatia,Ivor Pandur,GK,Hull City
Croatia,Nikola Vlašić,MF,Torino
Croatia,Ivan Perišić,FW,PSV Eindhoven
Croatia,Mario Pašalić,MF,Atalanta
Croatia,Martin Baturina,MF,Como
Croatia,Petar Sučić,MF,Inter Milan
Croatia,Kristijan Jakić,DF,FC Augsburg
Croatia,Toni Fruk,MF,Rijeka
Croatia,Igor Matanović,FW,SC Freiburg
Croatia,Luka Sučić,MF,Real Sociedad
Croatia,Luka Vušković,DF,Hamburger SV
Croatia,Dominik Kotarski,GK,Copenhagen
Croatia,Marco Pašalić,FW,Orlando City SC
Croatia,Martin Erlić,DF,Midtjylland
Croatia,Petar Musa,FW,FC Dallas
England,Jordan Pickford,GK,Everton
England,Ezri Konsa,DF,Aston Villa
England,Nico O'Reilly,DF,Manchester City
England,Declan Rice,MF,Arsenal
England,John Stones,DF,Manchester City
England,Marc Guéhi,DF,Manchester City
England,Bukayo Saka,FW,Arsenal
England,Elliot Anderson,MF,Nottingham Forest
England,Harry Kane,FW,Bayern Munich
England,Jude Bellingham,MF,Real Madrid
England,Marcus Rashford,FW,Barcelona
England,Tino Livramento,DF,Newcastle United
England,Dean Henderson,GK,Crystal Palace
England,Jordan Henderson,MF,Brentford
England,Dan Burn,DF,Newcastle United
England,Kobbie Mainoo,MF,Manchester United
England,Morgan Rogers,MF,Aston Villa
England,Anthony Gordon,FW,Newcastle United
England,Ollie Watkins,FW,Aston Villa
England,Noni Madueke,FW,Arsenal
England,Eberechi Eze,MF,Arsenal
England,Ivan Toney,FW,Al-Ahli
England,James Trafford,GK,Manchester City
England,Reece James,DF,Chelsea
England,Djed Spence,DF,Tottenham Hotspur
England,Jarell Quansah,DF,Bayer Leverkusen
Ghana,Lawrence Ati-Zigi,GK,St. Gallen
Ghana,Alidu Seidu,DF,Rennes
Ghana,Caleb Yirenkyi,MF,Nordsjælland
Ghana,Jonas Adjetey,DF,VfL Wolfsburg
Ghana,Thomas Partey,MF,Villarreal
Ghana,Abdul Mumin,DF,Rayo Vallecano
Ghana,Abdul Fatawu,FW,Leicester City
Ghana,Kwasi Sibo,MF,Oviedo
Ghana,Jordan Ayew,FW,Leicester City
Ghana,Brandon Thomas-Asante,FW,Coventry City
Ghana,Antoine Semenyo,MF,Manchester City
Ghana,Joseph Anang,GK,St Patrick's Athletic
Ghana,Christopher Bonsu Baah,FW,Al-Qadsiah
Ghana,Gideon Mensah,DF,Auxerre
Ghana,Elisha Owusu,MF,Auxerre
Ghana,Benjamin Asare,GK,Hearts of Oak
Ghana,Abdul Rahman Baba,DF,PAOK
Ghana,Jerome Opoku,DF,İstanbul Başakşehir
Ghana,Iñaki Williams,FW,Athletic Bilbao
Ghana,Augustine Boakye,MF,Saint-Étienne
Ghana,Kojo Peprah Oppong,DF,Nice
Ghana,Kamaldeen Sulemana,FW,Atalanta
Ghana,Derrick Luckassen,DF,Pafos
Ghana,Ernest Nuamah,FW,Lyon
Ghana,Prince Kwabena Adu,FW,Viktoria Plzeň
Ghana,Marvin Senaya,DF,Auxerre
Panama,Luis Mejía,GK,Nacional
Panama,César Blackman,DF,Slovan Bratislava
Panama,José Córdoba,DF,Norwich City
Panama,Fidel Escobar,DF,Saprissa
Panama,Edgardo Fariña,DF,Pari Nizhny Novgorod
Panama,Cristian Martínez,MF,Ironi Kiryat Shmona
Panama,José Luis Rodríguez,MF,Juárez
Panama,Adalberto Carrasquilla,MF,UNAM
Panama,Tomás Rodríguez,FW,Saprissa
Panama,Ismael Díaz,MF,León
Panama,Yoel Bárcenas,MF,Mazatlán
Panama,César Samudio,GK,Marathón
Panama,Jiovany Ramos,DF,Puerto Cabello
Panama,Carlos Harvey,DF,Minnesota United FC
Panama,Eric Davis,DF,Plaza Amador
Panama,Andrés Andrade,DF,LASK
Panama,José Fajardo,FW,Universidad Católica
Panama,Cecilio Waterman,FW,Universidad de Concepción
Panama,Alberto Quintero,MF,Plaza Amador
Panama,Aníbal Godoy,MF,San Diego FC
Panama,César Yanis,MF,Cobresal
Panama,Orlando Mosquera,GK,Al-Fayha
Panama,Michael Amir Murillo,DF,Beşiktaş
Panama,Azarias Londoño,FW,Universidad Católica
Panama,Roderick Miller,DF,Turan Tovuz
Panama,Jorge Gutiérrez,DF,Deportivo La Guaira
